fano_factor,train_cue_conc,bg_conc,cue_conc,n_bg,capacity,capacity_simulation,dimension,radius,utility,center_alignment,axis_alignment,center_axis_alignment,shuffle_capacity,shuffle_dimension,shuffle_radius,shuffle_utility,shuffle_center_alignment,shuffle_axis_alignment,shuffle_center_axis_alignment
0.0,0,0.0032,0.01,0,,,,,,,,,,,,,,,
0.0,0,0.0032,0.01,1,,,,,,,,,,,,,,,
0.0,0,0.0032,0.01,2,,,,,,,,,,,,,,,
0.0,0,0.0032,0.01,4,,,,,,,,,,,,,,,
0.0,0,0.0032,0.01,8,0.09968915472334924,0.10526315789473684,19.46804072880333,1.0015713554003578,0.9718998701624578,0.9461268667507753,0.14772882683098856,0.02563266042752732,0.010152934122454597,104.84327408862187,2.260457037879433,0.8902401703536268,0.9818578977972562,0.8859569768746854,0.2056345160535846
0.0,0,0.0032,0.01,12,0.09266617406949289,0.08695652173913043,20.85354141016791,1.0114778616355997,0.9772353210985407,0.9610760678756326,0.1392957559327594,0.02150731240740658,0.010103190203461057,111.34682352057135,2.2351971108946693,0.9373433557181361,0.969065158770448,0.867563929178091,0.16766806770506235
0.0,0,0.0032,0.01,16,0.10481018410059728,0.10526315789473684,18.382215123274204,1.0071630059769805,0.9701972418037283,0.9529382381748397,0.16023240646980125,0.026151603133212045,0.009984871899535229,111.12351303615755,2.287734557185172,0.9315620300850151,0.9763842482286176,0.9102371088215541,0.15190070091941293
0.0,0,0.0032,1.0,0,,,,,,,,,,,,,,,
0.0,0,0.0032,1.0,1,,,,,,,,,,,,,,,
0.0,0,0.0032,1.0,2,,,,,,,,,,,,,,,
0.0,0,0.0032,1.0,4,,,,,,,,,,,,,,,
0.0,0,0.0032,1.0,8,0.17188419497421017,0.18181818181818182,14.78593550216006,0.7561091029547623,0.9244507145045806,0.9579420492444826,0.12412341789489097,0.023904565815783287,0.009805990783387957,104.06425694410427,2.3955565744649316,0.8690211974054991,0.9910301428205869,0.9188129190794022,0.29170309008265716
0.0,0,0.0032,1.0,12,0.17013617408096013,0.18181818181818182,14.742545407612306,0.7599627150469085,0.9182742614679126,0.975867655880202,0.12324300160860342,0.025262454656927932,0.010715687990665437,100.67111871757892,2.2340649406137127,0.8986982069817666,0.9794781542798158,0.8868658052742046,0.3228358057794459
0.0,0,0.0032,1.0,16,0.19910872170424426,0.2,13.234316325342375,0.7188148180512458,0.8976926231014313,0.9796120076464176,0.12778466422368467,0.024685008443446205,0.0105978180206945,100.94271375978823,2.187702179209936,0.8848839933328617,0.9826907774617977,0.9126285647242552,0.3431511417226436
0.0,1,0.0032,0.01,0,,,,,,,,,,,,,,,
0.0,1,0.0032,0.01,1,,,,,,,,,,,,,,,
0.0,1,0.0032,0.01,2,,,,,,,,,,,,,,,
0.0,1,0.0032,0.01,4,,,,,,,,,,,,,,,
0.0,1,0.0032,0.01,8,0.082058089272178,0.08333333333333333,21.26616968241995,1.0479274897397932,0.9133478041007819,0.9244944994944997,0.14458019157682298,0.029118250919317006,0.01002141993259329,110.42311579231266,2.306742467074879,0.931531428962286,0.9663006112794523,0.8882251136673631,0.1383349471671256
0.0,1,0.0032,0.01,12,0.07399412706509782,0.07692307692307693,23.739067718817388,1.0386007897866694,0.9115240803421777,0.8448074055777246,0.1388969146949277,0.03869164748855216,0.008954023683969676,118.87052967457541,2.4198755605659397,0.9091185256535194,0.9863117046104052,0.8999070830411727,0.1434714089436969
0.0,1,0.0032,0.01,16,0.08105275079910196,0.08333333333333333,21.36927635302303,1.0540512957278658,0.911565476248077,0.8980186210900404,0.155674830400102,0.03356890152336819,0.010014249322459107,108.65615319013688,2.199756092421518,0.9017553920786143,0.9744269567632026,0.9043825926911184,0.1899100044680371
0.0,1,0.0032,1.0,0,,,,,,,,,,,,,,,
0.0,1,0.0032,1.0,1,,,,,,,,,,,,,,,
0.0,1,0.0032,1.0,2,,,,,,,,,,,,,,,
0.0,1,0.0032,1.0,4,,,,,,,,,,,,,,,
0.0,1,0.0032,1.0,8,0.1574865597477455,0.18181818181818182,14.455317683995084,0.777327460465676,0.8574530763925267,0.9659492071585826,0.1285129654346245,0.025001850165584875,0.010538684710351708,100.98486045981456,2.309490459418583,0.8962194625860238,0.9829153586360161,0.9276442476082355,0.2948223999721789
0.0,1,0.0032,1.0,12,0.15218198969371835,0.18181818181818182,14.81553530194743,0.7872035353727889,0.8626267783330896,0.9728749534239468,0.12594042857354074,0.022685146332807143,0.011137578685217463,99.72181118717995,2.2792391238228396,0.9313743060813682,0.9747742441527485,0.9089917126138034,0.1550762048056861
0.0,1,0.0032,1.0,16,0.17874317210304666,0.2,13.495511082941121,0.7427706558191396,0.8576660215030463,0.9801494126522302,0.13492766313417176,0.023998307577231957,0.010292666024653814,84.06747530497901,2.16231916748052,0.7128232420839581,0.9982529876359336,0.910014789339012,0.4315900415312421
0.0,2,0.0032,0.01,0,,,,,,,,,,,,,,,
0.0,2,0.0032,0.01,1,,,,,,,,,,,,,,,
0.0,2,0.0032,0.01,2,,,,,,,,,,,,,,,
0.0,2,0.0032,0.01,4,,,,,,,,,,,,,,,
0.0,2,0.0032,0.01,8,0.07958264608603226,0.08,23.181823324346993,1.0255192389567898,0.9456750063565964,0.9204964961144712,0.1359386455089597,0.026330728662547122,0.008683186606226325,120.59183499503311,2.4938319823022246,0.9020746280067099,0.9874750605782177,0.9132620768537256,0.1470516944091187
0.0,2,0.0032,0.01,12,0.07315348406577542,0.07142857142857142,24.82227113908618,1.0571789965243743,0.9583497384547081,0.9371257090811943,0.12352824590931634,0.02554949954401521,0.010327715117230206,110.83314285594219,2.2589620862235784,0.9570945373521385,0.9436799667813952,0.8503917699824617,0.12484876214588868
0.0,2,0.0032,0.01,16,0.08382683365103366,0.08333333333333333,21.762842032088546,1.054039625831637,0.960117555885127,0.9521900657684325,0.1354065537303005,0.027104601089172425,0.010584787594309681,103.88056590339087,2.2004164650575446,0.9113330423303005,0.9704242319568138,0.8858994704859916,0.15635557373408152
0.0,2,0.0032,1.0,0,,,,,,,,,,,,,,,
0.0,2,0.0032,1.0,1,,,,,,,,,,,,,,,
0.0,2,0.0032,1.0,2,,,,,,,,,,,,,,,
0.0,2,0.0032,1.0,4,,,,,,,,,,,,,,,
0.0,2,0.0032,1.0,8,0.17398932064703368,0.18181818181818182,14.525128500055393,0.7517245664020443,0.912474621615858,0.9797496451186192,0.13367451978728953,0.02356651797945858,0.009828546793348691,108.94488212319894,2.3540829689337492,0.9070863052629141,0.9829001250931837,0.9246089051545003,0.20650685508090583
0.0,2,0.0032,1.0,12,0.17580704054062435,0.18181818181818182,14.434463341970401,0.7529746573746637,0.918198779269261,0.9726696237707817,0.1315646717373444,0.020650313223278576,0.010316745579661227,104.55884658237004,2.2368997770735697,0.8990339309052379,0.9838428088748199,0.883419900111285,0.3434057188794635
0.0,2,0.0032,1.0,16,0.21289599044839774,0.2,12.959600732632454,0.6999347399993298,0.9072240701265553,0.9550930578337199,0.1419907052614098,0.023284271969932532,0.009956534357934666,108.38804023783257,2.271017669268045,0.9039089101800563,0.9855439998697921,0.9256511639827649,0.2767798777208019
0.0,3,0.0032,0.01,0,,,,,,,,,,,,,,,
0.0,3,0.0032,0.01,1,,,,,,,,,,,,,,,
0.0,3,0.0032,0.01,2,,,,,,,,,,,,,,,
0.0,3,0.0032,0.01,4,,,,,,,,,,,,,,,
0.0,3,0.0032,0.01,8,0.09329941859889927,0.09523809523809523,20.54346138627907,0.9829014903736661,0.9418201349941597,0.9586144440900016,0.13400540258780622,0.0235753916368263,0.01081559065410777,105.49754880579732,2.268727401247919,0.9554000692358867,0.9409276942619281,0.8513858547732693,0.17104979874971268
0.0,3,0.0032,0.01,12,0.08284384858783952,0.08333333333333333,23.010565986944,0.9959942475019514,0.9493162246139681,0.9607095307032456,0.1278819722821943,0.024789491239260737,0.009968790025255735,112.75839849201034,2.299248721802251,0.9452599292561291,0.9506035150670212,0.8436964030500017,0.16177128119805487
0.0,3,0.0032,0.01,16,0.0916790711194958,0.09523809523809523,20.919690019214602,0.9846841427529489,0.9441492909125749,0.9591946685315654,0.15183119911105586,0.025081459383208632,0.009783235373419233,113.62520030534593,2.262695184153511,0.929978236516982,0.9714894895142643,0.8794488951479995,0.15442578954175615
0.0,3,0.0032,1.0,0,,,,,,,,,,,,,,,
0.0,3,0.0032,1.0,1,,,,,,,,,,,,,,,
0.0,3,0.0032,1.0,2,,,,,,,,,,,,,,,
0.0,3,0.0032,1.0,4,,,,,,,,,,,,,,,
0.0,3,0.0032,1.0,8,0.20116495232372206,0.18181818181818182,13.796729614154337,0.7155492654678635,0.9398372909345483,0.953684097862254,0.11514799241139922,0.02092509371861107,0.010035628434325013,109.04718042107073,2.3958992776972496,0.9319975094173979,0.9716135902246449,0.9169088744962675,0.12789506516668156
0.0,3,0.0032,1.0,12,0.2040159208763348,0.2222222222222222,13.576172278416125,0.7088257431945586,0.926243088067661,0.9818896805005234,0.11167363163593162,0.021641452017395573,0.010084637698059663,96.3224361564609,2.237527215415756,0.8096566783338518,0.9961183190238688,0.8847308308467352,0.4559344387413658
0.0,3,0.0032,1.0,16,0.25923931275241097,0.2857142857142857,11.540924464592656,0.6557040052112262,0.8995741487353305,0.9533362615170887,0.11661587472616694,0.022065897625858446,0.010505739252385462,103.91891543263165,2.274973443839811,0.9149586486011665,0.9783543198729481,0.9238605255593964,0.21757429223441682
0.0,4,0.0032,0.01,0,,,,,,,,,,,,,,,
0.0,4,0.0032,0.01,1,,,,,,,,,,,,,,,
0.0,4,0.0032,0.01,2,,,,,,,,,,,,,,,
0.0,4,0.0032,0.01,4,,,,,,,,,,,,,,,
0.0,4,0.0032,0.01,8,0.09253918336904413,0.09523809523809523,20.35044165139846,0.9782646486625068,0.9209181091794248,0.9056679047340249,0.13804684195525505,0.0320007693896062,0.009912434447105788,109.61728928194667,2.261058427550542,0.9088082066223836,0.9733390070372829,0.8802416230342521,0.21189086728333542
0.0,4,0.0032,0.01,12,0.08767275542180011,0.08695652173913043,21.59545582119722,0.9714731571733284,0.9192761218498053,0.9042005180452076,0.1397735473866547,0.03243848426781485,0.010668785274785582,105.9584317893739,2.196636307940207,0.9363865042079689,0.9599098675959928,0.8382475483787215,0.16405582758552248
0.0,4,0.0032,0.01,16,0.09935446975432488,0.09523809523809523,19.178116873345395,0.9736654988150574,0.9272962811861889,0.9362460662490738,0.14313996476921415,0.03177794012317597,0.01002761544118066,110.83261088276078,2.2183719705761527,0.9236897721570515,0.968346284746664,0.895483683030128,0.15180112045960578
0.0,4,0.0032,1.0,0,,,,,,,,,,,,,,,
0.0,4,0.0032,1.0,1,,,,,,,,,,,,,,,
0.0,4,0.0032,1.0,2,,,,,,,,,,,,,,,
0.0,4,0.0032,1.0,4,,,,,,,,,,,,,,,
0.0,4,0.0032,1.0,8,0.19144963996856496,0.18181818181818182,13.769100854529002,0.7326146604189512,0.9206941914400697,0.9655511492124672,0.11959604935444211,0.023771601032609075,0.010640395392733148,102.02659150320378,2.3039516751234332,0.9135091072839203,0.9758408620173642,0.9091032957830686,0.15858252622905422
0.0,4,0.0032,1.0,12,0.19628265350257593,0.2,13.738878598919698,0.7295709733754945,0.9367677329360717,0.9717222537445829,0.12760389005728479,0.02130648526833585,0.009985310467750159,106.76006927062876,2.3065553286364806,0.8973616892128626,0.9844139793435857,0.9051922686090579,0.2892055090513644
0.0,4,0.0032,1.0,16,0.23678149727070427,0.2,12.54335128287169,0.6789018754415417,0.9370280019054257,0.9643946671111651,0.13197962413153594,0.021900135912654536,0.009069794595024605,115.29844549146299,2.3486172193224544,0.8852462991504474,0.9892454059965151,0.9521885241205175,0.2246299839152547
0.0,5,0.0032,0.01,0,,,,,,,,,,,,,,,
0.0,5,0.0032,0.01,1,,,,,,,,,,,,,,,
0.0,5,0.0032,0.01,2,,,,,,,,,,,,,,,
0.0,5,0.0032,0.01,4,,,,,,,,,,,,,,,
0.0,5,0.0032,0.01,8,0.08544068568846737,0.08333333333333333,22.252966663168323,1.035287207032271,0.9836087870533372,0.8948180803023448,0.14730464517735883,0.030847083056268963,0.010248405646146557,110.71826438761404,2.271577833639768,0.9504854333643773,0.9449552792921926,0.8626361263298319,0.12987221403393534
0.0,5,0.0032,0.01,12,0.07429485434933855,0.07407407407407407,25.15375209221783,1.0536475206493328,0.9831824757131203,0.8713602980761566,0.11627491902718833,0.03781426721312747,0.010185015790477174,111.05867248405508,2.179395230051193,0.9344072293802959,0.9539939784983844,0.8322486823727552,0.1615803333988324
0.0,5,0.0032,0.01,16,0.08544861307812229,0.08333333333333333,21.940826090991166,1.0448048025166703,0.9784668914175361,0.8847641571291239,0.13533232023749894,0.03345414344970715,0.009931917715948015,111.38123615377005,2.192472319216564,0.9157278639634187,0.9723165518725542,0.8867196703710549,0.15911905579900934
0.0,5,0.0032,1.0,0,,,,,,,,,,,,,,,
0.0,5,0.0032,1.0,1,,,,,,,,,,,,,,,
0.0,5,0.0032,1.0,2,,,,,,,,,,,,,,,
0.0,5,0.0032,1.0,4,,,,,,,,,,,,,,,
0.0,5,0.0032,1.0,8,,,,,,,,,,,,,,,
0.0,5,0.0032,1.0,12,0.16750399158834184,0.15384615384615385,15.466169547363394,0.7765063833745441,0.9744840085172365,0.9719240147189765,0.11159324949283256,0.022609190983958558,0.01000811130034678,112.18621697932323,2.2860591274700397,0.9424380335330501,0.9512131204449106,0.8844205826770236,0.13600240605927008
0.0,5,0.0032,1.0,16,0.20640943322812308,0.18181818181818182,13.181303886713028,0.7355652376946145,0.9552385146931158,0.9797043131097795,0.11725551298671945,0.024286060539288386,0.010547157683860008,107.04218297194359,2.219724552239816,0.938513804145203,0.9427589466423348,0.9177935177064808,0.1483338553485851
0.0,6,0.0032,0.01,0,,,,,,,,,,,,,,,
0.0,6,0.0032,0.01,1,,,,,,,,,,,,,,,
0.0,6,0.0032,0.01,2,,,,,,,,,,,,,,,
0.0,6,0.0032,0.01,4,,,,,,,,,,,,,,,
0.0,6,0.0032,0.01,8,0.09109354554698416,0.09523809523809523,20.77834354844269,0.9837711916050774,0.9309031569380983,0.9451799802148382,0.13954462437283685,0.02873928066913321,0.009591663661011081,113.13529971336935,2.3699579920111793,0.9211532042989414,0.9838504245750488,0.8840781960059227,0.1811072408090804
0.0,6,0.0032,0.01,12,0.0882729623773784,0.08695652173913043,21.64130070660406,0.9862906770392292,0.9419863642139238,0.9564871128929163,0.14965906806569051,0.025181010405068257,0.009639918428952747,115.91830369961892,2.2830717873673096,0.937570483443227,0.967751439847021,0.8657739019684634,0.14670117200987823
0.0,6,0.0032,0.01,16,0.09895347469856343,0.09523809523809523,18.90146129327357,1.0052651725443453,0.9400935714561438,0.9619619524728217,0.1558972860210358,0.028647491878244963,0.011217993958530304,102.12466769606267,2.1645297564931356,0.9441218901019315,0.9501638089513432,0.8745198503019596,0.17856099600961073
0.0,6,0.0032,1.0,0,,,,,,,,,,,,,,,
0.0,6,0.0032,1.0,1,,,,,,,,,,,,,,,
0.0,6,0.0032,1.0,2,,,,,,,,,,,,,,,
0.0,6,0.0032,1.0,4,,,,,,,,,,,,,,,
0.0,6,0.0032,1.0,8,0.17915564546105492,0.18181818181818182,14.374327461557595,0.734060986846315,0.9017523664636432,0.97417487461954,0.12426391313942566,0.02563403940206002,0.009733261404033768,108.41380140021809,2.3896073896031655,0.8979643210058472,0.9875567052677323,0.9290694742078459,0.22211869947582172
0.0,6,0.0032,1.0,12,0.17774856916911455,0.18181818181818182,14.268754585240895,0.7459834208616848,0.9067839936863143,0.9796192152676618,0.13380002163269739,0.023590832486751312,0.010439575901367112,107.6068598741325,2.3202546678025255,0.9473919754251783,0.9479488667496272,0.8992695885202076,0.10974466101800777
0.0,6,0.0032,1.0,16,,,,,,,,,,,,,,,
0.0,7,0.0032,0.01,0,,,,,,,,,,,,,,,
0.0,7,0.0032,0.01,1,,,,,,,,,,,,,,,
0.0,7,0.0032,0.01,2,,,,,,,,,,,,,,,
0.0,7,0.0032,0.01,4,,,,,,,,,,,,,,,
0.0,7,0.0032,0.01,8,0.10245142360337949,0.10526315789473684,19.23618062825687,0.9712232998268593,0.9566230325882585,0.9645399329733685,0.1589173316582956,0.022775150436864327,0.009749326198048502,112.09355814912281,2.3653235628677223,0.9271236728809027,0.9759269735774678,0.8941176593987542,0.16220781800149275
0.0,7,0.0032,0.01,12,0.09913361970465265,0.09523809523809523,20.305068594133427,0.949101934574524,0.9539288415286965,0.9485313401822729,0.1325595662903669,0.027338966339959376,0.010433321927555394,108.32929314643643,2.1863397003286145,0.9346948575562279,0.9608414466414983,0.8403316548310696,0.18496260054788552
0.0,7,0.0032,0.01,16,0.11757487287412774,0.11764705882352941,17.67945942989771,0.9173641998647903,0.9499087579474045,0.9531397500992093,0.1489921404322742,0.028637225660969195,0.010437375544631157,106.98966170260755,2.243286121596799,0.9315736220632094,0.9604985573019351,0.876036431120754,0.13519348605653853
0.0,7,0.0032,1.0,0,,,,,,,,,,,,,,,
0.0,7,0.0032,1.0,1,,,,,,,,,,,,,,,
0.0,7,0.0032,1.0,2,,,,,,,,,,,,,,,
0.0,7,0.0032,1.0,4,0.22658924686605672,0.25,11.608942846092193,0.7325463029917252,0.9186170342956024,0.9188781036248493,0.12711945608298067,0.023257820426231094,0.009464983791680722,109.29145683350205,2.3526815150308362,0.8761519812922913,0.991205772648883,0.9729766788525421,0.1122447973587264
0.0,7,0.0032,1.0,8,0.17256755705543655,0.18181818181818182,14.43533172181709,0.7757444999609633,0.935880914130057,0.9525236349105742,0.13136251888211714,0.025571046743559724,0.010691455510890463,103.58139497744885,2.2204202744995905,0.9206928464743599,0.9650424872228444,0.8923054111930759,0.24037022850717701
0.0,7,0.0032,1.0,12,0.16548138813962068,0.15384615384615385,15.329446562708158,0.76499264299965,0.9364882208677973,0.9492318677845685,0.11893587590135378,0.023535292504549322,0.009932168203981824,113.01553269512901,2.3475147097477604,0.9500857483470537,0.9614175884482324,0.884350174448866,0.1460392699464168
